AnimalID,AnimalName,AnimalType,PrimaryColor,SecondaryColor,PrimaryBreed,Sex,DOB,Age,IntakeDate,IntakeCondition,IntakeType,IntakeSubtype,IntakeReason,OutcomeDate,OutcomeType,OutcomeSubtype,OutcomeCondition,Crossing,Jurisdiction,LastUpdate
A0286223,MISTY,DOG,BROWN,BLACK,LABRADOR RETR,SPAYED,,NO AGE,2021-08-22,DEAD,DISPO REQ,OTC,,2021-08-22,DISPOSAL,,DEAD,,,2021-08-22
A0389214,BRUNO,CAT,BLACK,WHITE,DOMESTIC LH,NEUTERED,2003-04-02,18 YEARS,2021-07-16,DEAD,DISPO REQ,OTC,,2021-07-16,DISPOSAL,,DEAD,,SAN JOSE,2021-07-16
A0426393,CHICO,DOG,TAN,WHITE,CHIHUAHUA SH,MALE,2004-03-14,21 YEARS,2021-11-29,OTHER MED,STRAY,FIELD,,2021-11-30,RTO,,,BASCOM/CURTNER,SAN JOSE,2021-11-30
A0492285,DURAN,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,2005-09-16,17 YEARS,2021-08-27,NORMAL,STRAY,OTC,,2021-09-24,ADOPTION,,HEALTHY,1800 BLOCK BEVERLY BLVD,SAN JOSE,2021-09-24
A0497171,MANGO,CAT,TABBY-ORG,,DOMESTIC SH,NEUTERED,,NO AGE,2021-12-22,DEAD,DISPO REQ,OTC,,2021-12-22,DISPOSAL,,DEAD,,CUPERTINO,2021-12-22
A0501278,PEPPER,CAT,TABBY-GRAY,,DOMESTIC SH,NEUTERED,2005-04-14,16 YEARS,2021-07-25,DEAD,DISPO REQ,OTC,,2021-07-25,DISPOSAL,,,,SAN JOSE,2021-08-17
A0502207,JEAN LUC,DOG,BLACK,WHITE,SHIH TZU,NEUTERED,2005-11-18,16 YEARS,2021-11-20,DEAD,DISPO REQ,OTC,,2021-11-20,DISPOSAL,,UNHEALTHY,,SAN JOSE,2021-11-20
A0502800,PEPPER,DOG,BROWN,,AUST CATTLE DOG,SPAYED,2005-05-22,16 YEARS,2021-08-15,DEAD,DISPO REQ,OTC,,2021-08-15,DISPOSAL,,DEAD,,SAN JOSE,2021-08-15
A0504198,MIRTA,CAT,BLACK,WHITE,DOMESTIC SH,SPAYED,2006-03-27,15 YEARS,2022-01-14,DEAD,DISPO REQ,OTC,,2022-01-14,DISPOSAL,,DEAD,"1300 BLOCK GAINSVILLE AVE, SAN JOSE CA 95122",SAN JOSE,2022-01-14
A0529980,BOLU,DOG,BROWN,BLACK,GERM SHEPHERD,NEUTERED,2006-07-29,15 YEARS,2021-08-18,OTHER MED,STRAY,OTC,,2021-08-18,RTO,,,BRIGADOON WAY,SAN JOSE,2021-08-18
