AnimalID,AnimalName,AnimalType,PrimaryColor,SecondaryColor,PrimaryBreed,Sex,DOB,Age,IntakeDate,IntakeCondition,IntakeType,IntakeSubtype,IntakeReason,OutcomeDate,OutcomeType,OutcomeSubtype,OutcomeCondition,Crossing,Jurisdiction,LastUpdate
A0075579,BAILEY,DOG,BLACK,RED,LABRADOR RETR,SPAYED,1994-01-16,16 YEARS,2024-10-15,MED R,STRAY,OTC,,2024-10-15,RTO,,MED R,SENTER RD X TULLY RD,SAN JOSE,2024-10-15
A0498263,FRANKIE,DOG,BROWN,,CHIHUAHUA SH,NEUTERED,2005-08-06,19 YEARS,2024-12-17,DEAD,DISPO REQ,OTC OWNED,,2024-12-17,DISPOSAL,,DEAD,,SAN JOSE,2024-12-17
A0533827,PATCHES,DOG,TRICOLOR,BLACK,PARSON RUSS TER,NEUTERED,2006-02-06,19 YEARS,2024-08-28,MED SEV,EUTH REQ,,,2024-08-28,RTO,,MED SEV,,SANTA CLARA,2024-08-28
A0538570,CARAMEL,CAT,CALICO-TRI,,DOMESTIC SH,SPAYED,,NO AGE,2024-09-30,DEAD,DISPO REQ,OTC,,2024-09-30,DISPOSAL,,DEAD,HEIMGARTNER LN,SAN JOSE,2024-09-30
A0564053,BISCUIT,CAT,ORANGE,,DOMESTIC SH,NEUTERED,2007-06-01,17 YEARS,2024-10-29,DEAD,DISPO REQ,OTC,,2024-10-29,DISPOSAL,,DEAD,STARLITE DR,MILPITAS,2024-10-29
A0569573,SHALE,CAT,BLACK,,DOMESTIC SH,SPAYED,2007-10-12,16 YEARS,2024-09-25,MED SEV,STRAY,OTC,,2024-09-25,EUTH,,MED SEV,1600 BLOCK ALMADEN RD,SAN JOSE,2024-09-25
A0588919,MIMI,CAT,GRAY,,DOMESTIC SH,SPAYED,2006-12-19,18 YEARS,2025-02-08,DEAD,DISPO REQ,OTC,,2025-02-08,DISPOSAL,,DEAD,,SAN JOSE,2025-02-08
A0608333,BLACK,CAT,TORBI-BRN,,DOMESTIC SH,SPAYED,2008-05-05,17 YEARS,2024-08-31,MED R,STRAY,OTC,,2024-09-03,RTF,,FERAL,RIVER VIEW DR,SAN JOSE,2024-09-03
A0616956,BAMBI,DOG,TRICOLOR,WHITE,CHIHUAHUA SH,SPAYED,2007-01-12,18 YEARS,2025-04-03,DEAD,DISPO REQ,OTC,,2025-04-03,DISPOSAL,,DEAD,,SAN JOSE,2025-04-03
A0636780,SPONGIE,DOG,FAWN,,POODLE MIN,NEUTERED,,NO AGE,2024-07-22,MED SEV,STRAY,OTC,,2024-07-22,RTO,,MED SEV,SNELL AVE,SAN JOSE,2024-08-02
A0643984,TAMIA,DOG,BROWN,,CHIHUAHUA SH,SPAYED,2009-02-02,15 YEARS,2024-10-30,DEAD,DISPO REQ,OTC OWNED,,2024-10-30,DISPOSAL,,DEAD,,SAN JOSE,2024-10-30
A0648735,BELLA,CAT,TABBY-BRN,WHITE,DOMESTIC MH,SPAYED,2009-06-21,16 YEARS,2025-02-24,HEALTHY,OWNER SUR,OTC,,2025-03-03,ADOPTION,,HEALTHY,,SAN JOSE,2025-03-03
A0652502,KUJO,CAT,BLACK,,DOMESTIC SH,NEUTERED,2009-04-16,15 YEARS,2024-11-06,DEAD,DISPO REQ,FIELD,,2025-02-01,DISPOSAL,,DEAD,JASMINE X YERBA BUENA,SAN JOSE,2025-02-01
A0663870,ERNIE,CAT,TABBY-ORG,,DOMESTIC SH,NEUTERED,2005-12-29,18 YEARS,2024-11-21,DEAD,DISPO REQ,OTC OWNED,,2024-11-21,DISPOSAL,,DEAD,,SAN JOSE,2024-11-21
A0666279,NUSCHLER (TEDDY),CAT,PT-FLAME,ORANGE,SIAMESE,NEUTERED,2009-03-14,15 YEARS,2024-09-06,MED R,STRAY,OTC,,2024-09-07,RTO,,HEALTHY,1400 BLOCK FOXWORTHY AVE X PLUMMER AVE,SAN JOSE,2024-09-07
A0667848,MOMIE,CAT,BLACK,,DOMESTIC SH,SPAYED,2009-01-14,16 YEARS,2024-09-03,MED R,FOSTER,,,2024-09-04,FOSTER,,MED R,,SAN JOSE,2024-10-03
A0667848,MOMIE,CAT,BLACK,,DOMESTIC SH,SPAYED,2009-01-14,16 YEARS,2024-09-04,MED R,FOSTER,,,2024-09-04,FOSTER,,MED R,,SAN JOSE,2024-09-04
A0667848,MOMIE,CAT,BLACK,,DOMESTIC SH,SPAYED,2009-01-14,16 YEARS,2025-02-28,MED R,FOSTER,,,2025-02-28,ADOPTION,,MED R,,,2025-02-28
A0685089,GIBBY,DOG,TAN,WHITE,CHIHUAHUA SH,NEUTERED,2009-04-28,15 YEARS,2024-12-04,DEAD,DISPO REQ,OTC OWNED,,2024-12-04,DISPOSAL,,DEAD,,SAN JOSE,2024-12-04
A0685330,MINOR/BRN AV,CAT,CALICO-TRI,,DOMESTIC SH,SPAYED,,NO AGE,2024-10-12,MED EMERG,STRAY,OTC,,2024-10-12,EUTH,,MED SEV,WILLIS AVE,SAN JOSE,2024-10-12
A0692251,BOLT,DOG,TAN,,CHIHUAHUA SH,NEUTERED,,NO AGE,2024-11-16,DEAD,DISPO REQ,OTC OWNED,,2024-11-16,DISPOSAL,,DEAD,,SAN JOSE,2024-11-16
A0697568,,CAT,TORTIE-B\O,,DOMESTIC SH,SPAYED,2009-03-09,16 YEARS,2025-03-09,MED SEV,STRAY,FIELD,,2025-03-09,EUTH,,MED EMERG,2700 BLK SAND POINT,SAN JOSE,2025-03-09
