AnimalID,AnimalName,AnimalType,PrimaryColor,SecondaryColor,PrimaryBreed,Sex,DOB,Age,IntakeDate,IntakeCondition,IntakeType,IntakeSubtype,IntakeReason,OutcomeDate,OutcomeType,OutcomeSubtype,OutcomeCondition,Crossing,Jurisdiction,LastUpdate
A0285916,TIGGER / TOFU,CAT,TABBY-GRAY,,DOMESTIC SH,NEUTERED,1999-02-23,21 YEARS,2018-11-29,OTHER MED,STRAY,OTC,,2018-11-30,RTO,,MANAGE,"500 BLOCK E SANTA CLARA ST, SAN JOSE CA 95112",SAN JOSE,2018-11-30
A0295477,MILTON,CAT,TABBY-GRAY,,DOMESTIC SH,NEUTERED,2001-05-20,24 YEARS,2018-11-11,OTHER MED,STRAY,OTC,,2018-11-30,RESCUE,,MANAGE,HARDWOOD RD,,2018-11-30
A0302361,,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,2001-05-09,17 YEARS,2019-02-11,DEAD,DISPO REQ,FIELD,,2019-02-11,DISPOSAL,,DEAD,1600 BLOCK VALLEY CREST,SAN JOSE,2019-02-11
A0324842,NAKO,CAT,BLACK,,DOMESTIC SH,SPAYED,2001-06-17,17 YEARS,2019-02-06,DEAD,DISPO REQ,OTC OWNED,,2019-02-06,DISPOSAL,,DEAD,,SAN JOSE,2019-02-06
A0334378,SUNDAE,CAT,PT-CHOC,,SIAMESE,SPAYED,2002-04-03,18 YEARS,2019-03-01,NORMAL,STRAY,OTC,,2019-03-12,RTO,,MANAGE,CHERRY & PINE,SAN JOSE,2019-03-12
A0349636,ROCKY,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,2002-05-25,23 YEARS,2018-09-03,UNHEALTHY,STRAY,OTC,,2018-09-05,RTO,,UNHEALTHY,"1400 BLOCK SANTA FE DR, SAN JOSE CA 95118",SAN JOSE,2018-09-05
A0349636,ROCKY,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,2002-05-25,23 YEARS,2018-09-05,UNHEALTHY,EUTH REQ,OTC OWNED,,2018-09-11,TRANSFER,,MANAGE,,SAN JOSE,2018-09-11
A0350786,SHOHAR,CAT,PT-CHOC,,SIAMESE,MALE,2002-04-16,16 YEARS,2018-12-29,OTHER MED,STRAY,OTC,,2018-12-29,EUTH,,UNHEALTHY,1400 BLOCK SIERRA AVE SAN JOSE CA 95126,SAN JOSE,2019-01-08
A0358675,LILY,DOG,WHITE,,COCKAPOO,FEMALE,2002-07-10,17 YEARS,2018-07-29,NORMAL,STRAY,OTC,,2018-07-30,RTO,,,DOWNTOWN SARATOGA,SARATOGA,2018-07-30
A0396566,SPOTTY,DOG,WHITE,RED,PARSON RUSS TER,NEUTERED,2000-12-21,24 YEARS,2018-12-20,OTHER MED,EUTH REQ,OTC OWNED,EUTH OLD,2018-12-26,RESCUE,,MANAGE,,SAN JOSE,2018-12-26
A0401675,MEOWFERS,CAT,WHITE,GRAY,DOMESTIC SH,SPAYED,2002-11-04,15 YEARS,2018-09-26,DEAD,DISPO REQ,OTC OWNED,,2018-09-26,DISPOSAL,,DEAD,,SAN JOSE,2018-09-26
A0413541,BEAR,DOG,TAN,BLACK,CHIHUAHUA LH,NEUTERED,2003-04-03,22 YEARS,2019-02-22,OTHER MED,EUTH REQ,OTC OWNED,,2019-02-27,RESCUE,,MANAGE,,SAN JOSE,2019-02-27
A0428759,MAXINE,DOG,TAN,,CHIHUAHUA SH,SPAYED,2003-09-15,15 YEARS,2018-10-30,DEAD,DISPO REQ,OTC OWNED,,2018-10-30,DISPOSAL,,DEAD,,SAN JOSE,2018-10-30
A0436207,SIERRA,CAT,TABBY-GRAY,,DOMESTIC SH,SPAYED,2004-03-18,14 YEARS,2019-01-31,DEAD,DISPO REQ,FIELD,,2019-02-18,DISPOSAL,,,NOLDEN/ OLSEN DR,SAN JOSE,2019-02-18
A0444359,KAWAII,DOG,BROWN,WHITE,SHIH TZU,NEUTERED,2002-04-01,16 YEARS,2018-10-13,DEAD,DISPO REQ,OTC,,2018-10-13,DISPOSAL,,DEAD,,SAN JOSE,2018-10-13
A0447069,ERNESTO,CAT,TABBY-BRN,,DOMESTIC SH,NEUTERED,2004-04-11,14 YEARS,2018-08-26,DEAD,DISPO REQ,OTC,DOA,2018-08-26,DISPOSAL,,DEAD,,SAN JOSE,2018-08-26
A0452578,TERRI,DOG,WHITE,,WEST HIGHLAND,MALE,2000-09-08,18 YEARS,2018-09-04,DEAD,DISPO REQ,OTC OWNED,,2018-09-04,DISPOSAL,,DEAD,,SAN JOSE,2018-09-04
A0454252,KING,DOG,BLACK,TAN,GERM SHEPHERD,NEUTERED,2004-08-24,14 YEARS,2018-09-27,DEAD,DISPO REQ,OTC,,2018-10-18,DISPOSAL,,DEAD,,,2018-10-18
A0454252,KING,DOG,BLACK,TAN,GERM SHEPHERD,NEUTERED,2004-08-24,14 YEARS,2018-09-27,DEAD,DISPO REQ,OTC,,2018-09-27,DISPOSAL,,DEAD,,SAN JOSE,2018-09-27
A0454327,ROME,DOG,BLACK,,CHIHUAHUA SH,NEUTERED,2004-02-04,15 YEARS,2018-08-28,OTHER MED,STRAY,OTC,,2018-08-28,RTO,,HEALTHY,"2700 BLOCK SUISUN AVE, SAN JOSE CA 95121",SAN JOSE,2018-08-28
A0457441,BABI,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,2009-03-14,10 YEARS,2019-02-11,OTHER MED,OWNER SUR,FIELD,,2019-04-19,DIED,,UNHEALTHY,,SAN JOSE,2019-04-19
A0464291,CHERRIO,CAT,ORANGE,WHITE,DOMESTIC SH,SPAYED,,NO AGE,2018-07-10,OTHER MED,STRAY,OTC,,2018-07-11,RTO,,MANAGE,"1100 BLOCK CHERRYVIEW LN, SAN JOSE CA 95118",SAN JOSE,2018-07-11
A0467409,CHIQUITA,DOG,BROWN,,CHIHUAHUA SH,FEMALE,2004-06-09,21 YEARS,2019-01-25,SICK,EUTH REQ,OTC OWNED,,2019-02-04,RESCUE,,MANAGE,,COUNTY,2019-02-04
A0468527,ANGIE,CAT,TORBI-BRN,,DOMESTIC SH,SPAYED,2004-05-21,21 YEARS,2018-12-10,NORMAL,CONFISCATE,OWNER DIED,,2018-12-31,RESCUE,,REHAB,,SAN JOSE,2018-12-31
A0479174,EMMY,DOG,WHITE,,BORDER TERRIER,SPAYED,2005-05-12,13 YEARS,2018-11-02,DEAD,DISPO REQ,OTC OWNED,,2018-11-02,DISPOSAL,,DEAD,,SAN JOSE,2018-11-02
A0480508,BINGO,DOG,BLACK,WHITE,AUST SHEPHERD,SPAYED,2003-09-01,22 YEARS,2019-02-02,OTHER MED,OWNER SUR,OTC,NO HOME,2019-02-15,RESCUE,,UNHEALTHY,,SAN JOSE,2019-02-15
A0483937,LEXI,DOG,TAN,,SHIH TZU,SPAYED,2005-06-01,14 YEARS,2019-02-10,OTHER MED,STRAY,OTC,IP ADOPT,2019-02-10,RTO,,,"500 BLOCK SOUTHSIDE DR, SAN JOSE CA 95111",SAN JOSE,2019-02-10
A0485426,NATE,DOG,WHITE,GRAY,PARSON RUSS TER,MALE,2002-03-22,16 YEARS,2019-01-22,DEAD,DISPO REQ,OTC,,2019-01-22,DISPOSAL,,DEAD,,SAN JOSE,2019-01-22
A0497065,DIEGO,DOG,TAN,,CHIHUAHUA SH,NEUTERED,,NO AGE,2018-10-17,OTHER MED,STRAY,OTC,,2018-10-20,RTO,,REHAB,"700 BLOCK MINNESOTA AVE, SAN JOSE CA 95125",SAN JOSE,2018-10-20
A0497673,SHARKY,DOG,BRINDLE-BN,,CHIHUAHUA SH,MALE,2004-08-28,21 YEARS,2018-09-17,OTHER MED,STRAY,FIELD,,2018-09-20,RTO,,REHAB,"700 BLOCK CONCORD AVE, SAN JOSE CA 95128",SAN JOSE,2018-09-20
A0498234,ROXY,DOG,BLACK,TAN,ENG COONHOUND,FEMALE,2004-01-18,21 YEARS,2019-01-18,OTHER MED,EUTH REQ,OTC OWNED,,2019-02-01,RESCUE,,UNHEALTHY,,SAN JOSE,2019-02-01
