AnimalID,AnimalName,AnimalType,PrimaryColor,SecondaryColor,PrimaryBreed,Sex,DOB,Age,IntakeDate,IntakeCondition,IntakeType,IntakeSubtype,IntakeReason,OutcomeDate,OutcomeType,OutcomeSubtype,OutcomeCondition,Crossing,Jurisdiction,LastUpdate
A0496029,ZOEY,CAT,BLACK,WHITE,DOMESTIC SH,SPAYED,2005-05-01,20 YEARS,2025-07-14,MED R,STRAY,OTC,,2025-08-07,RTO,,MED R,1ST ST AND ALMA,SAN JOSE,2025-08-07
A0624926,SHELLY,DOG,FAWN,WHITE,CAIRN TERRIER,SPAYED,2008-12-12,17 YEARS,2025-07-15,MED R,STRAY,OTC,,2025-07-15,RTO,,HEALTHY,FILAN WAY / FOWLER RD,SAN JOSE,2025-07-15
A0667926,DING DING,DOG,TRICOLOR,,MALTESE,FEMALE,2009-02-14,16 YEARS,2025-07-06,DEAD,DISPO REQ,OTC OWNED,,2025-07-06,DISPOSAL,,DEAD,,SAN JOSE,2025-07-06
A0701803,MALIBU,CAT,TABBY-BRN,WHITE,DOMESTIC MH,NEUTERED,2010-04-24,15 YEARS,2025-07-01,DEAD,DISPO REQ,OTC OWNED,,2025-07-01,DISPOSAL,,DEAD,,SAN JOSE,2025-07-01
A0713886,WAYNE,CAT,TABBY-RED,WHITE,DOMESTIC SH,NEUTERED,2010-07-17,15 YEARS,2025-07-19,DEAD,DISPO REQ,OTC OWNED,,2025-07-19,DISPOSAL,,DEAD,,SAN JOSE,2025-07-19
A0761209,BOLT,DOG,BLACK,TAN,CHIHUAHUA LH,MALE,2008-11-15,17 YEARS,2025-07-18,MED M,STRAY,OTC,,2025-07-19,RTO,,MED M,SAN FELIPE RD/FOWLER RD,SAN JOSE,2025-07-19
A0807591,REX,DOG,BROWN,TAN,MIN PINSCHER,NEUTERED,2009-10-16,16 YEARS,2025-07-22,HEALTHY,STRAY,OTC,,2025-08-06,RESCUE,,HEALTHY,BLOSSOM HILL X LEAN,SAN JOSE,2025-08-06
A0897062,TEDDY,DOG,WHITE,,BICHON FRISE,NEUTERED,2009-06-01,16 YEARS,2025-07-17,DEAD,DISPO REQ,OTC,,2025-07-17,DISPOSAL,,DEAD,SPRINGER WAY,SAN JOSE,2025-07-17
A0902448,GINGER,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,2013-07-20,12 YEARS,2025-07-20,HEALTHY,OWNER SUR,OTC,,,,,,,SAN JOSE,2025-07-27
A0910236,CHOPPER,DOG,BROWN,,CHIHUAHUA SH,NEUTERED,2007-08-12,17 YEARS,2025-07-15,DEAD,DISPO REQ,,,2025-07-15,DISPOSAL,,DEAD,,SAN JOSE,2025-07-15
A0928377,BLANCO,DOG,CREAM,,CHIHUAHUA LH,NEUTERED,2014-07-03,11 YEARS,2025-07-12,MED R,STRAY,OTC,,2025-07-18,RTO,,MED R,FWY 101 // TULLY EXIT,SAN JOSE,2025-07-18
A0929793,KANDY,DOG,YELLOW,,POMERANIAN,SPAYED,,NO AGE,2025-07-17,DEAD,DISPO REQ,FIELD,,2025-07-17,DISPOSAL,,DEAD,LOCHNER,SAN JOSE,2025-07-17
A0954509,,CAT,TORBI-BRN,WHITE,DOMESTIC SH,SPAYED,,NO AGE,2025-07-01,DEAD,DISPO REQ,FIELD,,2025-07-10,DISPOSAL,,DEAD,YOSEMITE DR / SEQUOIA,MILPITAS,2025-07-10
A0972658,SASHIMI,DOG,WHITE,,MALTESE,NEUTERED,2014-05-21,11 YEARS,2025-07-06,MED R,STRAY,FIELD,,2025-07-08,RTO,,MED R,ENDFIELD X HIGHWOOD,SAN JOSE,2025-07-08
A0980332,,CAT,TABBY-BRN,WHITE,DOMESTIC SH,SPAYED,,NO AGE,2025-07-26,DEAD,DISPO REQ,OTC,,2025-07-26,DISPOSAL,,DEAD,HASSINGER RD,SAN JOSE,2025-07-26
A1001051,,CAT,WHITE,GRAY,DOMESTIC SH,NEUTERED,,NO AGE,2025-07-11,MED SEV,STRAY,OTC,,2025-07-11,EUTH,,MED EMERG,LYNDALE AVE,SAN JOSE,2025-07-11
A1009878,,CAT,WHITE,TAN,DOMESTIC LH,NEUTERED,,NO AGE,2025-07-24,MED SEV,STRAY,FIELD,,2025-07-29,EUTH,,MED SEV,CONWAY ST/DIXON RD,MILPITAS,2025-07-29
A1028488,LADY,DOG,BLACK,WHITE,PIT BULL,SPAYED,,NO AGE,2025-07-17,MED EMERG,STRAY,OTC,,2025-07-17,EUTH,,MED EMERG,KING RD/OCALA AVE,SAN JOSE,2025-07-17
A1034436,ROXY,DOG,TRICOLOR,,CHIHUAHUA SH,SPAYED,2016-08-13,9 YEARS,2025-07-01,HEALTHY,STRAY,FOUND,,2025-07-02,RTO,,HEALTHY,CAMINO VERDE DR/SANTA TERESA BLVD,SAN JOSE,2025-07-20
A1034802,,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,,NO AGE,2025-07-14,DEAD,DISPO REQ,OTC,,2025-07-14,DISPOSAL,,DEAD,QUIMBY RD/E CAPITOL EXPY,SAN JOSE,2025-07-14
A1037986,DUMP TRUCK,DOG,BLACK,WHITE,AM PIT BULL TER,NEUTERED,,NO AGE,2025-07-25,DEAD,DISPO REQ,OTC OWNED,,2025-07-25,DISPOSAL,,DEAD,,SAN JOSE,2025-07-25
A1065630,OZZY,DOG,TAN,WHITE,CHIHUAHUA SH,NEUTERED,2015-12-01,10 YEARS,2025-07-16,HEALTHY,STRAY,OTC,,2025-07-23,RESCUE,,HEALTHY,SENTER RD/SINGLETON RD,SAN JOSE,2025-07-23
A1069251,CHANO,CAT,PT-LILAC,,DOMESTIC SH,NEUTERED,2017-04-19,8 YEARS,2025-07-03,MED R,STRAY,OTC,IP ADOPT,2025-07-13,RTO,,MED R,STORY/KING,SAN JOSE,2025-07-13
A1074510,LILY,DOG,BLACK,TAN,YORKSHIRE TERR,SPAYED,2017-08-06,8 YEARS,2025-07-26,HEALTHY,STRAY,OTC,IP ADOPT,2025-07-27,RTO,,HEALTHY,YERBA BUENA/ SILVER CREEK,SAN JOSE,2025-07-27
A1093601,,CAT,BLACK,WHITE,DOMESTIC SH,SPAYED,,NO AGE,2025-07-18,MED SEV,STRAY,FIELD,,2025-07-18,EUTH,,MED SEV,BRADBURY DR/TUSTIN DR,SAN JOSE,2025-07-18
A1099323,,CAT,TORBI-DIL,,DOMESTIC SH,SPAYED,,NO AGE,2025-07-25,MED SEV,STRAY,OTC,,2025-07-25,EUTH,,MED SEV,BLOSSOM AVE/CANTON DR,SAN JOSE,2025-07-25
A1122177,LUCKY,DOG,BROWN,,CHIHUAHUA SH,NEUTERED,2018-09-01,6 YEARS,2025-07-02,DEAD,DISPO REQ,FIELD,,2025-07-03,DISPOSAL,,DEAD,KELLY PARK,SAN JOSE,2025-07-10
A1137506,,CAT,BLACK,,DOMESTIC SH,SPAYED,,NO AGE,2025-07-03,DEAD,DISPO REQ,OTC,,2025-07-03,DISPOSAL,,DEAD,TUERS RD/UMBARGER RD,SAN JOSE,2025-07-03
A1148820,DUC,DOG,TAN,,CHIHUAHUA SH,NEUTERED,2013-09-12,12 YEARS,2025-07-24,HEALTHY,CONFISCATE,HOSPITAL,,2025-07-26,RTO,,HEALTHY,,SAN JOSE,2025-07-26
A1154250,,CAT,TABBY-ORG,,DOMESTIC SH,NEUTERED,2018-07-23,7 YEARS,2025-07-23,MED SEV,STRAY,OTC,,2025-07-24,EUTH,,MED SEV,S CAPITOL AVE X FLORENCE AVE,SAN JOSE,2025-07-24
A1166381,CHIQUITO,DOG,TAN,WHITE,CHIHUAHUA SH,NEUTERED,2016-03-03,9 YEARS,2025-07-20,MED R,STRAY,OTC,,2025-07-21,RTO,,,22ND ST/WILLIAM ST,SAN JOSE,2025-07-21
A1173824,MAX,DOG,WHITE,GRAY,SHIH TZU,NEUTERED,2019-06-04,6 YEARS,2025-07-01,MED R,OWNER SUR,FIELD,,2025-07-07,RESCUE,,MED R,,MILPITAS,2025-08-13
A1195558,,CAT,TABBY-GRAY,WHITE,DOMESTIC SH,NEUTERED,2014-07-16,11 YEARS,2025-07-16,MED SEV,STRAY,OTC,,2025-07-16,EUTH,,MED SEV,CATHAY DR/NEWTON AVE,SAN JOSE,2025-07-16
A1210019,MEEP,DOG,WHITE,,MALTESE,MALE,2020-06-23,5 YEARS,2025-07-26,MED R,STRAY,OTC,,2025-07-27,RTO,,MED R,TULLY RD/10TH ST,SAN JOSE,2025-07-27
A1228996,SLATER,DOG,BRINDLE-BN,,CAIRN TERRIER,MALE,2018-05-09,7 YEARS,2025-07-28,DEAD,DISPO REQ,FIELD,,2025-07-28,DISPOSAL,,DEAD,,SAN JOSE,2025-07-28
A1229532,,CAT,BLACK,WHITE,DOMESTIC SH,SPAYED,2021-07-10,4 YEARS,2025-07-02,DEAD,DISPO REQ,FIELD,,2025-07-02,DISPOSAL,,DEAD,UMBARGER RD X PACER LN,SAN JOSE,2025-07-02
A1230247,,CAT,BLACK,,DOMESTIC SH,NEUTERED,2020-11-18,5 YEARS,2025-07-28,MED R,STRAY,OTC,,2025-07-31,RTF,,MED R,MCDONALD AVE/MCKEE RD,SAN JOSE,2025-07-31
A1231005,,CAT,TABBY-GRAY,WHITE,DOMESTIC SH,SPAYED,,NO AGE,2025-07-16,MED R,STRAY,OTC,,2025-07-20,RTF,,MED R,DELBERT WAY/PEDRO ST,SAN JOSE,2025-07-25
A1231643,,CAT,TORTIE-B\O,,DOMESTIC SH,SPAYED,,NO AGE,2025-07-13,DEAD,DISPO REQ,OTC,,2025-07-13,DISPOSAL,,DEAD,COLT WAY/RUTHER PLACE WAY,SAN JOSE,2025-07-13
A1233204,DAKOTA,DOG,BRINDLE-BN,WHITE,PIT BULL,SPAYED,2019-10-27,6 YEARS,2025-07-22,HEALTHY,OWNER SUR,OTC,,2025-07-29,ADOPTION,,HEALTHY,,SAN JOSE,2025-07-29
A1237751,CHIQUILIN,DOG,WHITE,,SHIH TZU,MALE,2018-11-09,7 YEARS,2025-07-22,MED R,STRAY,OTC,,2025-07-22,RTO,,MED R,MORENO X LANCELOT,SAN JOSE,2025-07-22
A1245046,,CAT,CALICO-TRI,,DOMESTIC SH,SPAYED,,NO AGE,2025-07-17,MED SEV,STRAY,OTC,,2025-07-18,EUTH,,MED SEV,BARNARD X STONE AVE,SAN JOSE,2025-07-18
A1245224,LUNA,DOG,BROWN,WHITE,GERM SHEPHERD,FEMALE,2020-08-03,5 YEARS,2025-07-26,MED R,STRAY,OTC,,2025-07-30,RTO,,MED R,BROADWAY AVE/BROADWAY CT,SAN JOSE,2025-07-30
A1257623,NINA,DOG,BROWN,WHITE,PIT BULL,SPAYED,2019-11-06,6 YEARS,2025-07-15,HEALTHY,CONFISCATE,POLICE,,2025-08-08,ADOPTION,,HEALTHY,,SAN JOSE,2025-08-08
A1270753,NOELLE,DOG,BRINDLE-BN,,PIT BULL,FEMALE,2021-08-25,4 YEARS,2025-07-28,HEALTHY,CONFISCATE,ASO,,2025-07-29,RTO,,HEALTHY,,SAN JOSE,2025-07-29
A1289843,LOLA,DOG,TAN,,AM PIT BULL TER,SPAYED,2022-07-21,3 YEARS,2025-07-20,HEALTHY,STRAY,FIELD,,2025-07-21,RTO,,HEALTHY,VIA DEL ORO/SAN IGNACIO AVE,SAN JOSE,2025-07-21
A1289843,LOLA,DOG,TAN,,AM PIT BULL TER,SPAYED,2022-07-21,3 YEARS,2025-07-21,HEALTHY,SPAY,,,2025-07-21,SPAY,,HEALTHY,,SAN JOSE,2025-07-21
A1294513,JOE,DOG,BLACK,TAN,CHIHUAHUA SH,NEUTERED,,NO AGE,2025-07-11,MED M,STRAY,FIELD,,2025-07-11,RTO,,MED M,E CALAVERAS X CARNEGIE,MILPITAS,2025-07-11
A1300616,MAX,DOG,CREAM,,CHIHUAHUA SH,NEUTERED,2022-05-19,3 YEARS,2025-07-16,MED R,CONFISCATE,OWNER DIED,,2025-08-04,TRANSFER,,MED R,,,2025-08-04
A1313591,PAIN,DOG,RED,WHITE,SIBERIAN HUSKY,NEUTERED,2019-03-11,6 YEARS,2025-07-06,HEALTHY,STRAY,OTC,,2025-07-07,RTO,,HEALTHY,TUERS RD X E CAPITOL EXPY,SAN JOSE,2025-07-07
A1314686,,CAT,TABBY-BRN,WHITE,DOMESTIC SH,NEUTERED,2020-09-06,5 YEARS,2025-07-23,MED R,STRAY,FIELD,,2025-08-05,RTF,,FERAL,MENKER X SAN CARLOS,SAN JOSE,2025-08-06
A1315297,TRAP 2,CAT,BLACK,,DOMESTIC SH,SPAYED,,NO AGE,2025-07-15,MED EMERG,STRAY,OTC,,2025-07-15,DIED,,MED EMERG,N HWY 87 AND 280 INTERCHANGE,SAN JOSE,2025-07-17
A1318179,TIFFANY,CAT,TABBY-BRN,,DOMESTIC MH,SPAYED,2023-09-10,2 YEARS,2025-07-24,FERAL,S/N CLINIC,,,2025-07-24,RTO,,HEALTHY,,SAN JOSE,2025-07-24
A1328559,HARRY,CAT,BLACK,WHITE,DOMESTIC MH,NEUTERED,2021-02-10,4 YEARS,2025-07-29,MED R,STRAY,MEDVET,,2025-08-01,ADOPTION,,HEALTHY,WOZ WAY,SAN JOSE,2025-08-01
A1330278,KILO,DOG,BLACK,WHITE,SIBERIAN HUSKY,NEUTERED,2021-12-18,4 YEARS,2025-07-01,HEALTHY,STRAY,OTC,,2025-07-06,RTO,,HEALTHY,MONTEREY RD X TULLY RD,SAN JOSE,2025-07-06
A1337843,CANELA,DOG,BROWN,WHITE,LABRADOR RETR,SPAYED,2024-02-23,1 YEAR 10 MONTHS,2025-07-17,MED EMERG,STRAY,MEDVET,IP ADOPT,2025-07-30,ADOPTION,,MED R,HWY NB 101 / HWY 880,SAN JOSE,2025-09-29
A1342306,RANGO,CAT,TABBY-BRN,,DOMESTIC SH,NEUTERED,2019-09-29,6 YEARS,2025-07-28,HEALTHY,STRAY,OTC,,2025-07-28,RTF,,,MONTEREY/UMBARGER,SAN JOSE,2025-07-28
A1346423,SNOW,DOG,WHITE,,CHIHUAHUA SH,FEMALE,2023-07-20,2 YEARS,2025-07-20,HEALTHY,OWNER SUR,OTC,,2025-07-31,TRANSFER,,HEALTHY,,SAN JOSE,2025-07-31
A1346921,PEONI,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,2024-05-18,1 YEAR 7 MONTHS,2025-07-18,HEALTHY,STRAY,OTC,,2025-08-01,ADOPTION,,HEALTHY,DON MARCO CT/DON JUAN CIR,SAN JOSE,2025-08-01
A1347445,CHAVELA,DOG,BROWN,WHITE,CHIHUAHUA SH,SPAYED,2017-07-05,8 YEARS,2025-07-19,HEALTHY,STRAY,FOUND,,2025-08-22,FOUND ANIM,,HEALTHY,AUZERAIS AVE/MERIDIAN AVE,SAN JOSE,2025-08-22
A1347445,CHAVELA,DOG,BROWN,WHITE,CHIHUAHUA SH,SPAYED,2017-07-05,8 YEARS,2025-07-06,HEALTHY,STRAY,FOUND,,2025-07-19,FOUND ANIM,,HEALTHY,SAN CARLOS X MERIDIAN,SAN JOSE,2025-07-19
A1348304,NOODLES,DOG,WHITE,,BICHON FRISE,NEUTERED,2020-07-30,5 YEARS,2025-07-24,MED R,STRAY,OTC,,2025-08-07,ADOPTION,,MED R,ASHLAND DR X ROSSWELL DR,MILPITAS,2025-08-07
A1352300,MERLIN,CAT,TABBY-BRN,WHITE,DOMESTIC SH,NEUTERED,2024-07-18,1 YEAR,2025-07-11,DEAD,DISPO REQ,OTC,,2025-07-11,DISPOSAL,,DEAD,ALMADEN RD/ALMADEN EXPY,SAN JOSE,2025-07-11
A1354144,DEXTER,CAT,TABBY-ORG,,DOMESTIC SH,NEUTERED,2021-07-22,4 YEARS,2025-07-21,MED R,STRAY,OTC,,2025-07-27,ADOPTION,,MED R,RUMSEY CT/FONTANELLE DR,SAN JOSE,2025-07-27
A1357262,LUCKY,CAT,BLACK,,DOMESTIC SH,SPAYED,2024-06-27,1 YEAR 6 MONTHS,2025-07-09,HEALTHY,OWNER SUR,OTC,MOVE,2025-07-19,ADOPTION,,HEALTHY,,SAN JOSE,2025-07-19
