AnimalID,AnimalName,AnimalType,PrimaryColor,SecondaryColor,PrimaryBreed,Sex,DOB,Age,IntakeDate,IntakeCondition,IntakeType,IntakeSubtype,IntakeReason,OutcomeDate,OutcomeType,OutcomeSubtype,OutcomeCondition,Crossing,Jurisdiction,LastUpdate
A0016309,KOTO,DOG,GOLD,,GOLDEN RETR,NEUTERED,,NO AGE,2023-07-31,MED R,STRAY,OTC,,2023-07-31,DIED,,MED R,OCALA AVENUE,,2025-09-11
A0537603,MILEY,CAT,CALICO-TRI,,DOMESTIC SH,SPAYED,2005-09-14,18 YEARS,2023-10-03,DEAD,DISPO REQ,OTC OWNED,,2023-10-03,DISPOSAL,,DEAD,,SAN JOSE,2023-10-03
A0540068,LIL DUDE,CAT,BLACK,,DOMESTIC SH,NEUTERED,,NO AGE,2023-08-17,DEAD,DISPO REQ,OTC,,2023-08-17,DISPOSAL,,DEAD,,SAN JOSE,2023-08-17
A0548113,MOCHA,DOG,BROWN,,POMERANIAN,FEMALE,2007-02-06,17 YEARS,2024-03-28,DEAD,DISPO REQ,OTC,,2024-03-28,DISPOSAL,,DEAD,SAYOKO CIR / SNELL AVE,SAN JOSE,2024-03-28
A0556036,TY,DOG,TAN,WHITE,CHIHUAHUA SH,NEUTERED,2006-02-12,19 YEARS,2024-02-26,MED R,FOSTER,,,2024-02-27,RESCUE,,MED R,,SAN JOSE,2024-02-27
A0556036,TY,DOG,TAN,WHITE,CHIHUAHUA SH,NEUTERED,2006-02-12,19 YEARS,2023-08-28,MED R,OWNER SUR,OTC,,2024-02-26,FOSTER,,MED R,,SAN JOSE,2024-02-26
A0559358,JIGGY/BOO BOO,DOG,BLACK,,CHIHUAHUA SH,SPAYED,2003-05-23,20 YEARS,2023-12-26,DEAD,DISPO REQ,OTC OWNED,,2023-12-26,DISPOSAL,,DEAD,,SAN JOSE,2023-12-26
A0574466,ANDREA,CAT,BLACK,WHITE,DOMESTIC SH,SPAYED,2007-08-13,16 YEARS,2023-09-06,DEAD,DISPO REQ,OTC,,2023-11-30,DISPOSAL,,DEAD,BALFOUR DR X LONE BLUFF WAY,SAN JOSE,2023-11-30
A0586097,,CAT,CALICO-TRI,,DOMESTIC LH,SPAYED,,NO AGE,2023-07-02,DEAD,DISPO REQ,OTC,,2023-07-02,DISPOSAL,,DEAD,,,2023-07-02
A0595412,WUPPY,DOG,WHITE,BLACK,COCKER SPAN,MALE,,NO AGE,2024-02-07,DEAD,DISPO REQ,OTC OWNED,,2024-02-07,DISPOSAL,,DEAD,,SAN JOSE,2024-02-07
