AnimalID,AnimalName,AnimalType,PrimaryColor,SecondaryColor,PrimaryBreed,Sex,DOB,Age,IntakeDate,IntakeCondition,IntakeType,IntakeSubtype,IntakeReason,OutcomeDate,OutcomeType,OutcomeSubtype,OutcomeCondition,Crossing,Jurisdiction,LastUpdate
A0403140,NICKY,CAT,TORTIE-B\O,WHITE,DOMESTIC SH,SPAYED,2003-08-05,19 YEARS,2023-01-24,DEAD,DISPO REQ,OTC,,2023-01-24,DISPOSAL,,DEAD,,SAN JOSE,2023-02-19
A0466894,CAMILLE,CAT,CALICO-TRI,WHITE,DOMESTIC LH,SPAYED,2004-05-09,18 YEARS,2022-07-07,DEAD,DISPO REQ,OTC OWNED,,2022-07-07,DISPOSAL,,DEAD,,SAN JOSE,2022-07-07
A0467952,SECRET,CAT,TORBI-BRN,,DOMESTIC SH,SPAYED,2003-07-02,19 YEARS,2023-06-08,DEAD,DISPO REQ,OTC OWNED,,2023-06-08,DISPOSAL,,DEAD,,,2023-06-08
A0498364,SAM,DOG,GRAY,WHITE,CHIHUAHUA SH,NEUTERED,2006-04-12,19 YEARS,2023-02-12,MED R,STRAY,OTC,,2023-02-22,RESCUE,,MED R,NORTHRUP ST/PEDRO ST,SAN JOSE,2023-02-22
A0499724,ROXY,DOG,TAN,WHITE,CHIHUAHUA SH,SPAYED,2005-11-24,17 YEARS,2023-05-31,DEAD,DISPO REQ,OTC,,2023-05-31,DISPOSAL,,DEAD,IMPATIENS DR,SAN JOSE,2023-05-31
A0524717,MAYA,CAT,TABBY-GRAY,WHITE,DOMESTIC LH,SPAYED,2006-07-26,19 YEARS,2022-07-07,NORMAL,OWNER SUR,OTC,RESPONSIBL,2022-07-31,ADOPTION,,HEALTHY,,SAN JOSE,2022-08-01
A0524718,FERGIE,CAT,TABBY-GRAY,WHITE,DOMESTIC LH,SPAYED,2006-07-26,19 YEARS,2022-07-07,NORMAL,OWNER SUR,OTC,RESPONSIBL,2022-07-31,ADOPTION,,HEALTHY,,SAN JOSE,2022-08-01
A0528291,E.T.,CAT,BLACK,WHITE,DOMESTIC LH,NEUTERED,2006-05-22,16 YEARS,2022-08-17,OTHER MED,STRAY,FIELD,,2022-08-18,DIED,,UNHEALTHY,3000 BLOCK PENITENCIA CREEK,SAN JOSE,2022-08-18
A0534108,MUNECA,DOG,BLACK,,POMERANIAN,SPAYED,2006-08-08,16 YEARS,2022-10-29,DEAD,DISPO REQ,OTC OWNED,,2022-10-29,DISPOSAL,,DEAD,,SAN JOSE,2022-11-01
A0535843,KITTY,CAT,BLACK,,DOMESTIC SH,SPAYED,2005-11-05,17 YEARS,2023-02-23,DEAD,DISPO REQ,OTC OWNED,,2023-02-23,DISPOSAL,,DEAD,,SAN JOSE,2023-02-23
A0536506,ZAC,CAT,BROWN,,DOMESTIC SH,NEUTERED,2006-10-28,16 YEARS,2023-04-16,DEAD,DISPO REQ,OTC,,2023-04-16,DISPOSAL,,DEAD,,SAN JOSE,2023-04-16
A0537746,CHIQUITA,DOG,BLACK,,CHIHUAHUA SH,SPAYED,2006-06-11,16 YEARS,2022-09-07,DEAD,DISPO REQ,OTC,,2022-09-07,DISPOSAL,,DEAD,,,2022-09-07
A0553913,MOMO,DOG,BLACK,WHITE,DACHSHUND,NEUTERED,,NO AGE,2023-02-12,DEAD,DISPO REQ,OTC OWNED,,2023-02-12,DISPOSAL,,DEAD,,SAN JOSE,2023-02-12
A0568233,LUCKY,DOG,BROWN,,CHIHUAHUA SH,NEUTERED,,NO AGE,2022-08-02,DEAD,DISPO REQ,OTC OWNED,,2022-08-02,DISPOSAL,,DEAD,,SAN JOSE,2022-08-02
A0570499,TURBO,DOG,SHADE-SLV,TAN,YORKSHIRE TERR,NEUTERED,2007-07-18,5 MONTHS,2022-07-22,OTHER MED,STRAY,OTC,,2022-07-23,RTO,,,SEVILLE WAY/ VINCI PARK WAY,SAN JOSE,2022-07-23
A0572104,MISSY,DOG,BROWN,WHITE,PIT BULL,SPAYED,2007-07-03,15 YEARS,2022-09-16,DEAD,DISPO REQ,OTC,,2022-09-16,DISPOSAL,,DEAD,,SAN JOSE,2022-09-16
A0572297,DANI,DOG,BLACK,,BORDER COLLIE,SPAYED,2007-11-15,16 YEARS,2023-05-05,HEALTHY,STRAY,OTC,,2023-05-09,RTO,,HEALTHY,BLOSSOM HILL RD/PARK LN,SAN JOSE,2023-05-09
A0578443,NORMAN,CAT,TABBY-BRN,WHITE,DOMESTIC SH,NEUTERED,2007-11-30,15 YEARS,2023-03-30,DEAD,DISPO REQ,OTC,,2023-03-30,DISPOSAL,,DEAD,,SAN JOSE,2023-03-30
A0587096,SWEETPEA,DOG,TAN,WHITE,PIT BULL,SPAYED,2008-04-05,14 YEARS,2022-09-08,OTHER MED,STRAY,,,2022-10-07,EUTH,,HEALTHY,,,2022-10-07
A0592240,RASCAL,CAT,BLACK,,BOMBAY,NEUTERED,2008-03-19,17 YEARS,2023-02-28,HEALTHY,OWNER SUR,OTC,,2023-04-08,RESCUE,,BEH R,,SAN JOSE,2023-04-08
A0597663,ALIEN PRINCESS,CAT,WHITE,,DOMESTIC SH,SPAYED,2006-12-23,19 YEARS,2022-07-11,OTHER MED,CONFISCATE,ASO,,2022-08-10,ADOPTION,,,,SAN JOSE,2022-08-10
A0603991,DIAMOND,DOG,WHITE,,MALTESE,NEUTERED,2008-01-05,14 YEARS,2022-10-23,DEAD,DISPO REQ,OTC,,2022-10-26,DISPOSAL,,DEAD,,SAN JOSE,2022-10-26
A0604374,CUSACK,DOG,BROWN,,YORKSHIRE TERR,SPAYED,,NO AGE,2022-10-22,DEAD,DISPO REQ,EAC,,2022-10-29,DISPOSAL,,DEAD,SAGE VET CLINIC,CAMPBELL,2022-11-15
A0608815,MOKI,CAT,TABBY-GRAY,WHITE,DOMESTIC SH,NEUTERED,2008-07-20,14 YEARS,2023-01-03,OTHER MED,OWNER SUR,OTC,,2023-01-03,EUTH,,UNHEALTHY,,SAN JOSE,2023-01-03
A0609630,RUDOLPH,DOG,TAN,,CHIHUAHUA SH,NEUTERED,2007-05-21,18 YEARS,2023-01-06,OTHER MED,OWNER SUR,FIELD,,2023-01-07,RTO,,,,SAN JOSE,2023-01-07
A0618075,BONI,DOG,TAN,,MALTESE,NEUTERED,2007-05-20,15 YEARS,2023-03-05,DEAD,DISPO REQ,OTC,,2023-03-05,DISPOSAL,,DEAD,,SAN JOSE,2023-03-05
A0619421,GEMMA,DOG,WHITE,BROWN,WELSH CORGI PEM,SPAYED,2008-05-01,14 YEARS,2023-02-05,DEAD,DISPO REQ,OTC OWNED,,2023-02-05,DISPOSAL,,DEAD,,SAN JOSE,2023-02-05
A0627799,TAZ,CAT,TABBY-GRAY,,DOMESTIC SH,NEUTERED,2007-06-20,18 YEARS,2023-05-19,MED R,STRAY,OTC,,2023-06-27,ADOPTION,,,E CAPITOL EXPY. / TULLY RD.,SAN JOSE,2023-06-28
A0628331,KAILEE,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,2008-04-02,17 YEARS,2023-02-10,HEALTHY,OWNER SUR,OTC,OWNER DIED,2024-02-27,ADOPTION,,HEALTHY,,SAN JOSE,2024-02-27
A0628332,GATITA,CAT,TABBY-BRN,WHITE,DOMESTIC SH,SPAYED,2008-04-02,15 YEARS,2023-02-10,HEALTHY,OWNER SUR,OTC,OWNER DIED,2023-04-14,FOSTER,,HEALTHY,,SAN JOSE,2023-04-14
A0628332,GATITA,CAT,TABBY-BRN,WHITE,DOMESTIC SH,SPAYED,2008-04-02,15 YEARS,2023-04-14,DEAD,DISPO REQ,,OWNER DIED,2023-04-14,DISPOSAL,,DEAD,,,2023-04-20
A0640851,BAXTER,DOG,TAN,,COCKER SPAN,NEUTERED,2009-02-12,14 YEARS,2023-03-02,DEAD,DISPO REQ,FIELD,,2023-03-02,DISPOSAL,,DEAD,,CUPERTINO,2023-03-02
A0642506,MALACHITE,DOG,BLACK,,BRUSS GRIFFON,NEUTERED,2007-07-09,18 YEARS,2023-01-21,MED R,STRAY,OTC,,2023-02-01,RESCUE,,HEALTHY,LITTLE ORCHARD ST/ CURTNER AVE,SAN JOSE,2023-02-01
A0658225,BILLY,CAT,TABBY-ORG,,DOMESTIC SH,NEUTERED,2009-07-02,13 YEARS,2022-07-19,OTHER MED,STRAY,OTC,,2022-07-22,EUTH,,UNHEALTHY,ELKINS WAY/KETTMANN RD,SAN JOSE,2022-07-22
A0658425,LULU,DOG,BROWN,,CHIHUAHUA SH,SPAYED,2008-11-22,14 YEARS,2023-03-06,DEAD,DISPO REQ,OTC,,2023-03-06,DISPOSAL,,DEAD,"2500 BLOCK MCLAUGHLIN AVE, SAN JOSE CA 95121",SAN JOSE,2023-03-06
A0665129,TINY,DOG,BLACK,BROWN,DACHSHUND,SPAYED,2009-02-23,16 YEARS,2023-01-19,MED R,STRAY,OTC,IP ADOPT,2023-01-20,RTO,,,S. WHITE RD/STORY RD,SAN JOSE,2023-01-20
A0670261,COCO,DOG,WHITE,CREAM,CAVALIER SPAN,MALE,2009-05-20,16 YEARS,2023-01-22,HEALTHY,STRAY,OTC,,2023-01-22,RTO,,MED M,,SAN JOSE,2023-01-22
A0670261,COCO,DOG,WHITE,CREAM,CAVALIER SPAN,MALE,2009-05-20,16 YEARS,2023-03-18,MED R,STRAY,OTC,,2023-03-18,RTO,,,S WHITE RD/MARTEN AVE,SAN JOSE,2023-03-18
A0670307,EMILIE,CAT,TABBY-BRN,WHITE,DOMESTIC MH,SPAYED,2009-07-12,13 YEARS,2023-05-07,DEAD,DISPO REQ,OTC,,2023-05-07,DISPOSAL,,DEAD,,SAN JOSE,2023-05-07
A0671696,KANO,DOG,TAN,,COCKER SPAN,NEUTERED,2008-10-20,14 YEARS,2023-01-24,DEAD,DISPO REQ,OTC OWNED,,2023-01-24,DISPOSAL,,DEAD,,,2023-01-24
A0674908,SNIPS,DOG,CREAM,,PEKINGESE,SPAYED,2009-06-18,16 YEARS,2023-06-18,HEALTHY,STRAY,MEDVET,,2023-06-18,RTO,,,MCCLELLAND / ORANGE,CUPERTINO,2023-06-18
A0677352,BAMBI,DOG,BROWN,,POODLE MIN,FEMALE,,NO AGE,2023-06-05,DEAD,DISPO REQ,OTC,,2023-06-05,DISPOSAL,,DEAD,,,2023-06-05
