AnimalID,AnimalName,AnimalType,PrimaryColor,SecondaryColor,PrimaryBreed,Sex,DOB,Age,IntakeDate,IntakeCondition,IntakeType,IntakeSubtype,IntakeReason,OutcomeDate,OutcomeType,OutcomeSubtype,OutcomeCondition,Crossing,Jurisdiction,LastUpdate
A0064977,SPARKY,DOG,TAN,,CHIHUAHUA SH,MALE,2011-11-28,9 YEARS,2020-11-25,INJURED,OWNER SUR,FIELD,EUTH OTHER,2020-12-06,EUTH,,UNHEALTHY,,MILPITAS,2021-01-22
A0153543,TACO,DOG,BLACK,WHITE,CHIHUAHUA SH,SPAYED,2009-09-19,12 YEARS,2021-03-12,OTHER MED,STRAY,OTC,,2021-03-14,RTO,,,19TH ST X EMPIRE ST,SAN JOSE,2021-03-14
A0395295,KIKI,DOG,TAN,,PUG,SPAYED,2002-02-10,23 YEARS,2020-10-12,OTHER MED,STRAY,OTC,,2020-10-14,RTO,,MANAGE,TULLY / WHITE,SAN JOSE,2020-10-14
A0417107,JOAN,CAT,BLACK,,DOMESTIC SH,SPAYED,2001-04-08,19 YEARS,2020-10-20,OTHER MED,STRAY,OTC,,2020-10-22,EUTH,,UNHEALTHY,"6400 BLOCK OBERLIN WAY, SAN JOSE CA 95123",SAN JOSE,2020-10-22
A0445930,SMOKEY,DOG,YELLOW,,LABRADOR RETR,NEUTERED,2004-05-04,17 YEARS,2020-08-07,OTHER MED,STRAY,FIELD,,2020-08-08,RTO,,MANAGE,HILLVIEW X JACKLIN,MILPITAS,2020-08-08
A0457592,SCOTTY,DOG,BLACK,BROWN,POODLE MIN,NEUTERED,,NO AGE,2020-08-10,DEAD,DISPO REQ,OTC OWNED,,2020-08-10,DISPOSAL,,DEAD,,SAN JOSE,2020-08-10
A0463657,BOWTIE,CAT,TABBY-ORG,WHITE,DOMESTIC SH,NEUTERED,2005-01-24,16 YEARS,2021-04-03,OTHER MED,STRAY,OTC,IP EUTH,2021-04-20,EUTH,,UNHEALTHY,"900 BLOCK FRANQUETTE AVE, SAN JOSE CA 95125",SAN JOSE,2021-08-24
A0471364,MILO,DOG,CREAM,WHITE,CAIRN TERRIER,FEMALE,2004-05-27,21 YEARS,2020-08-28,OTHER MED,EUTH REQ,OTC OWNED,,2020-09-07,RESCUE,,MANAGE,,SAN JOSE,2020-09-07
A0485528,WHITE PAWS,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,2003-10-10,22 YEARS,2020-08-25,NORMAL,CONFISCATE,POLICE,,2020-09-25,RESCUE,,MANAGE,,MILPITAS,2020-09-25
A0491817,BAILEY,DOG,BLACK,RED,MIN PINSCHER,NEUTERED,2004-11-13,16 YEARS,2020-09-28,DEAD,DISPO REQ,OTC OWNED,,2020-09-28,DISPOSAL,,DEAD,,SAN JOSE,2020-09-28
